Name	Description	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
12912	ENSG00000169019.9	COMMD8	11.8335
47567	ENSG00000167657.7	DAPK3	11.8327
42171	ENSG00000102882.7	MAPK3	11.8289
54245	ENSG00000130052.9	STARD8	11.8256
16945	ENSG00000091009.6	RBM27	11.8237
51021	ENSG00000124228.10	DDX27	11.8204
45398	ENSG00000141232.4	TOB1	11.8192
10852	ENSG00000176142.8	TMEM39A	11.817
26046	ENSG00000165006.9	UBAP1	11.8164
46826	ENSG00000141429.9	GALNT1	11.8109
5150	ENSG00000162714.8	ZNF496	11.808
49449	ENSG00000104960.11	PTOV1	11.8076
33406	ENSG00000089818.12	NECAP1	11.8053
14497	ENSG00000145439.7	CBR4	11.7969
13183	ENSG00000083896.8	YTHDC1	11.7968
15343	ENSG00000132356.7	PRKAA1	11.7919
10380	ENSG00000163602.9	RYBP	11.7907
21963	ENSG00000127980.11	PEX1	11.7889
42944	ENSG00000072736.14	NFATC3	11.7881
34737	ENSG00000111530.8	CAND1	11.7837
11420	ENSG00000114744.4	COMMD2	11.7834
16559	ENSG00000217128.7	FNIP1	11.7824
50246	ENSG00000125827.4	TMX4	11.7796
48252	ENSG00000105647.10	PIK3R2	11.777
23107	ENSG00000197150.8	ABCB8	11.7704
34085	ENSG00000079387.9	SENP1	11.7693
37513	ENSG00000196497.11	IPO4	11.7678
12596	ENSG00000118564.10	FBXL5	11.7664
8225	ENSG00000138448.7	ITGAV	11.7638
27530	ENSG00000198917.7	C9orf114	11.7638
31647	ENSG00000133895.10	MEN1	11.7604
38647	ENSG00000170270.4	C14orf142	11.7567
48558	ENSG00000166289.5	PLEKHF1	11.7559
27612	ENSG00000130717.8	UCK1	11.7546
35329	ENSG00000110851.7	PRDM4	11.7535
25194	ENSG00000156787.12	TBC1D31	11.7518
4481	ENSG00000123684.8	LPGAT1	11.7516
50915	ENSG00000244274.3	DBNDD2	11.7511
22066	ENSG00000214389.2	RPS3AP26	11.7509
49454	ENSG00000039650.5	PNKP	11.7469
33321	ENSG00000111641.6	NOP2	11.7395
9867	ENSG00000163808.12	KIF15	11.734
16286	ENSG00000134987.7	WDR36	11.7339
38198	ENSG00000100554.7	ATP6V1D	11.7332
3557	ENSG00000225217.1	HSPA7	11.7301
30245	ENSG00000148985.15	PGAP2	11.73
1384	ENSG00000132781.13	MUTYH	11.7278
17329	ENSG00000120129.5	DUSP1	11.7222
24712	ENSG00000085719.7	CPNE3	11.7207
39909	ENSG00000180979.5	LRRC57	11.7164
21155	ENSG00000106603.13	COA1	11.7142
29852	ENSG00000197771.8	MCMBP	11.7075
27773	ENSG00000127191.13	TRAF2	11.7006
38210	ENSG00000100568.6	VTI1B	11.6982
30966	ENSG00000149084.7	HSD17B12	11.6871
33247	ENSG00000227081.4	RP11-543P15.1	11.6868
33849	ENSG00000133704.5	IPO8	11.6796
26763	ENSG00000196730.8	DAPK1	11.6721
52050	ENSG00000160299.12	PCNT	11.6681
7987	ENSG00000115827.9	DCAF17	11.6663
843	ENSG00000142751.10	GPN2	11.6617
28122	ENSG00000136738.10	STAM	11.6613
52669	ENSG00000100296.9	THOC5	11.6613
11914	ENSG00000163872.11	YEATS2	11.6532
6397	ENSG00000116096.5	SPR	11.6525
26620	ENSG00000135045.6	C9orf40	11.6522
41652	ENSG00000263244.1	RP11-473I1.10	11.6505
3270	ENSG00000173171.10	MTX1	11.6493
31867	ENSG00000069482.6	GAL	11.6493
17756	ENSG00000124786.8	SLC35B3	11.6479
23713	ENSG00000147439.7	BIN3	11.646
52641	ENSG00000183765.16	CHEK2	11.646
4633	ENSG00000154305.12	MIA3	11.6457
31620	ENSG00000002330.9	BAD	11.6445
44794	ENSG00000230055.2	CISD3	11.6441
50630	ENSG00000101400.5	SNTA1	11.6414
34142	ENSG00000167548.10	KMT2D	11.6396
30123	ENSG00000177595.13	PIDD	11.6363
20423	ENSG00000130023.11	ERMARD	11.623
33329	ENSG00000126746.13	ZNF384	11.6216
50781	ENSG00000196756.7	SNHG17	11.6207
23835	ENSG00000104299.10	INTS9	11.6102
32578	ENSG00000166266.9	CUL5	11.6101
42935	ENSG00000124067.12	SLC12A4	11.604
12069	ENSG00000152492.9	CCDC50	11.6032
50059	ENSG00000099326.4	MZF1	11.5976
2433	ENSG00000116337.11	AMPD2	11.5958
1160	ENSG00000197982.12	C1orf122	11.5828
40986	ENSG00000140526.12	ABHD2	11.5815
51580	ENSG00000198862.9	LTN1	11.5792
27012	ENSG00000119523.8	ALG2	11.5771
20978	ENSG00000105778.13	AVL9	11.5765
29238	ENSG00000062650.13	WAPAL	11.565
11313	ENSG00000114126.13	TFDP2	11.5648
26947	ENSG00000130958.7	SLC35D2	11.5501
498	ENSG00000116809.7	ZBTB17	11.5498
46377	ENSG00000235552.4	RPL6P27	11.5463
40286	ENSG00000140299.7	BNIP2	11.5402
114	ENSG00000160072.15	ATAD3B	11.5399
1806	ENSG00000116678.14	LEPR	11.5385
54629	ENSG00000188917.10	TRMT2B	11.5344
10148	ENSG00000016864.12	GLT8D1	11.5315
25659	ENSG00000096968.8	JAK2	11.5289
10118	ENSG00000164087.3	POC1A	11.5273
49279	ENSG00000160007.13	ARHGAP35	11.525
6458	ENSG00000115289.8	PCGF1	11.5119
45486	ENSG00000264112.1	RP11-159D12.2	11.5117
29653	ENSG00000107960.6	OBFC1	11.5078
11922	ENSG00000114770.12	ABCC5	11.5038
3306	ENSG00000143622.6	RIT1	11.5028
30222	ENSG00000005801.12	ZNF195	11.5007
3050	ENSG00000143398.15	PIP5K1A	11.4963
41644	ENSG00000153048.6	CARHSP1	11.4917
11572	ENSG00000178053.13	MLF1	11.4914
43819	ENSG00000170037.9	CNTROB	11.4895
39732	ENSG00000021776.6	AQR	11.4893
53572	ENSG00000101868.6	POLA1	11.484
2398	ENSG00000116266.6	STXBP3	11.4819
48560	ENSG00000105173.9	CCNE1	11.4819
24439	ENSG00000066777.4	ARFGEF1	11.4751
16808	ENSG00000113119.8	TMCO6	11.4699
41406	ENSG00000198736.7	MSRB1	11.4691
48886	ENSG00000104825.12	NFKBIB	11.4642
45610	ENSG00000108510.5	MED13	11.4586
23449	ENSG00000173273.11	TNKS	11.4536
27560	ENSG00000204054.7	LINC00963	11.4534
9808	ENSG00000093183.9	SEC22C	11.447
1224	ENSG00000117000.8	RLF	11.4407
22345	ENSG00000177683.9	THAP5	11.4401
30111	ENSG00000177030.12	DEAF1	11.4366
14844	ENSG00000171421.8	MRPL36	11.4358
6389	ENSG00000075292.14	ZNF638	11.4328
48296	ENSG00000105676.9	ARMC6	11.4323
36848	ENSG00000125257.9	ABCC4	11.4234
2631	ENSG00000116830.7	TTF2	11.4217
12322	ENSG00000168924.10	LETM1	11.4198
37967	ENSG00000198554.7	WDHD1	11.4197
17788	ENSG00000153157.8	SYCP2L	11.4165
47420	ENSG00000064687.8	ABCA7	11.4089
51944	ENSG00000160218.8	TRAPPC10	11.408
42918	ENSG00000124074.7	ENKD1	11.4041
32658	ENSG00000150776.13	C11orf57	11.4023
29499	ENSG00000107521.14	HPS1	11.4006
29947	ENSG00000107949.12	BCCIP	11.4006
3241	ENSG00000163344.5	PMVK	11.3964
45240	ENSG00000141295.9	SCRN2	11.3946
31703	ENSG00000197136.4	PCNXL3	11.3934
29795	ENSG00000187164.13	KIAA1598	11.3909
10917	ENSG00000160124.5	CCDC58	11.3881
28394	ENSG00000108094.10	CUL2	11.3791
22663	ENSG00000128585.13	MKLN1	11.3724
6418	ENSG00000144048.6	DUSP11	11.3708
2681	ENSG00000143067.4	ZNF697	11.3707
22323	ENSG00000105865.6	DUS4L	11.3704
7409	ENSG00000136715.13	SAP130	11.3657
41442	ENSG00000184207.8	PGP	11.36
913	ENSG00000204138.8	PHACTR4	11.3541
24678	ENSG00000133739.11	LRRCC1	11.3529
43630	ENSG00000108405.3	P2RX1	11.3507
48769	ENSG00000105254.7	TBCB	11.3502
16699	ENSG00000249803.1	RP11-114H21.2	11.3497
40973	ENSG00000181026.13	AEN	11.3485
32417	ENSG00000166025.13	AMOTL1	11.3479
45271	ENSG00000120093.7	HOXB3	11.3439
55189	ENSG00000184785.4	SMIM10	11.3398
45626	ENSG00000146872.13	TLK2	11.337
28800	ENSG00000108091.10	CCDC6	11.335
8606	ENSG00000197713.10	RPE	11.3339
14800	ENSG00000180104.11	EXOC3	11.3313
15254	ENSG00000113456.14	RAD1	11.3192
49622	ENSG00000167766.14	ZNF83	11.3152
34143	ENSG00000167550.6	RHEBL1	11.3145
27466	ENSG00000136877.10	FPGS	11.3134
41425	ENSG00000008710.13	PKD1	11.3133
42896	ENSG00000196155.8	PLEKHG4	11.3079
52052	ENSG00000160305.13	DIP2A	11.3063
12291	ENSG00000145214.9	DGKQ	11.3058
9866	ENSG00000163807.4	KIAA1143	11.3033
39538	ENSG00000128731.11	HERC2	11.2986
10945	ENSG00000175455.10	CCDC14	11.2923
24338	ENSG00000178538.5	CA8	11.2908
8772	ENSG00000115661.9	STK16	11.2858
15797	ENSG00000164331.5	ANKRA2	11.2848
49219	ENSG00000177051.5	FBXO46	11.2823
46536	ENSG00000101639.14	CEP192	11.2819
1427	ENSG00000123472.8	ATPAF1	11.2816
29517	ENSG00000119929.8	CUTC	11.2811
45983	ENSG00000175931.8	UBE2O	11.2779
24738	ENSG00000164823.5	OSGIN2	11.2744
25254	ENSG00000156831.3	NSMCE2	11.2678
34823	ENSG00000121749.11	TBC1D15	11.2506
53414	ENSG00000226434.1	RP11-1L9.1	11.2417
47543	ENSG00000161091.8	MFSD12	11.239
11504	ENSG00000174953.9	DHX36	11.2388
43421	ENSG00000174177.8	CTU2	11.237
50898	ENSG00000101109.7	STK4	11.2361
43287	ENSG00000230989.2	HSBP1	11.2336
41650	ENSG00000262944.1	RP11-473I1.9	11.2324
2294	ENSG00000156876.8	SASS6	11.2283
44981	ENSG00000173786.12	CNP	11.2267
18139	ENSG00000137185.7	ZSCAN9	11.2265
10059	ENSG00000114353.12	GNAI2	11.2243
5905	ENSG00000143924.14	EML4	11.2237
47779	ENSG00000167785.4	ZNF558	11.2191
48203	ENSG00000099330.4	OCEL1	11.218
48972	ENSG00000167565.8	SERTAD3	11.2155
29385	ENSG00000138180.11	CEP55	11.2126
41454	ENSG00000167972.9	ABCA3	11.2069
16651	ENSG00000181904.8	C5orf24	11.2045
27475	ENSG00000136840.14	ST6GALNAC4	11.2037
49566	ENSG00000105497.3	ZNF175	11.1984
43531	ENSG00000197879.10	MYO1C	11.1964
50505	ENSG00000101474.7	APMAP	11.1948
26743	ENSG00000135040.11	NAA35	11.1934
26883	ENSG00000188938.11	FAM120AOS	11.1934
27479	ENSG00000167106.7	FAM102A	11.1934
53348	ENSG00000130021.9	HDHD1	11.1917
372	ENSG00000011021.17	CLCN6	11.191
1653	ENSG00000162402.8	USP24	11.1883
29260	ENSG00000122376.7	FAM35A	11.1877
4347	ENSG00000235363.1	SNRPGP10	11.187
8773	ENSG00000127824.9	TUBA4A	11.1829
17813	ENSG00000212802.3	RPL15P3	11.1804
41887	ENSG00000006007.7	GDE1	11.178
33509	ENSG00000139112.6	GABARAPL1	11.1611
22503	ENSG00000272686.1	RP11-390E23.6	11.1607
23998	ENSG00000147548.12	WHSC1L1	11.1588
53843	ENSG00000102226.5	USP11	11.155
2186	ENSG00000117505.8	DR1	11.1534
4026	ENSG00000121486.7	TRMT1L	11.1474
33766	ENSG00000205707.6	LYRM5	11.136
4973	ENSG00000116984.8	MTR	11.1355
11832	ENSG00000171109.14	MFN1	11.1284
2235	ENSG00000122481.12	RWDD3	11.1273
14556	ENSG00000164118.8	CEP44	11.1272
24972	ENSG00000048392.7	RRM2B	11.1199
10610	ENSG00000184220.6	CMSS1	11.1171
23919	ENSG00000198042.6	MAK16	11.1166
47089	ENSG00000166562.4	SEC11C	11.112
27564	ENSG00000148335.10	NTMT1	11.1094
18286	ENSG00000204576.7	PRR3	11.1059
3091	ENSG00000159445.8	THEM4	11.0982
7412	ENSG00000136731.8	UGGT1	11.0973
9092	ENSG00000132323.4	ILKAP	11.0952
38496	ENSG00000165417.7	GTF2A1	11.0951
26997	ENSG00000106789.8	CORO2A	11.0942
18995	ENSG00000146143.13	PRIM2	11.0908
36260	ENSG00000102710.15	SUPT20H	11.0894
1403	ENSG00000086015.16	MAST2	11.0892
11033	ENSG00000114631.10	PODXL2	11.0889
43149	ENSG00000103091.10	WDR59	11.0865
18687	ENSG00000001167.10	NFYA	11.0822
36453	ENSG00000102531.12	FNDC3A	11.0779
53692	ENSG00000047597.5	XK	11.0678
1330	ENSG00000117408.6	IPO13	11.0676
18118	ENSG00000124657.1	OR2B6	11.0675
1032	ENSG00000176261.11	ZBTB8OS	11.0631
5351	ENSG00000134313.10	KIDINS220	11.0591
46265	ENSG00000176912.3	C18orf56	11.0578
37022	ENSG00000213995.7	CARKD	11.0562
50800	ENSG00000101447.9	FAM83D	11.0501
41319	ENSG00000161999.7	JMJD8	11.05
34682	ENSG00000183735.5	TBK1	11.0497
5079	ENSG00000173728.6	C1orf100	11.0474
50682	ENSG00000088298.8	EDEM2	11.0473
34564	ENSG00000166987.10	MBD6	11.042
45206	ENSG00000073969.14	NSF	11.0412
28717	ENSG00000198964.9	SGMS1	11.0401
19172	ENSG00000112701.13	SENP6	11.038
51308	ENSG00000197457.5	STMN3	11.031
6974	ENSG00000115539.9	PDCL3	11.0294
40426	ENSG00000075131.5	TIPIN	11.0292
37742	ENSG00000100934.10	SEC23A	11.0229
2450	ENSG00000143093.10	STRIP1	11.0217
55569	ENSG00000126903.11	SLC10A3	11.0217
31545	ENSG00000168000.10	BSCL2	11.0178
15248	ENSG00000039560.9	RAI14	11.0165
9454	ENSG00000206560.6	ANKRD28	11.0134
32768	ENSG00000110274.10	CEP164	11.0119
36748	ENSG00000102471.9	NDFIP2	11.0106
45936	ENSG00000177728.10	KIAA0195	11.0041
21266	ENSG00000132436.7	FIGNL1	11.0019
483	ENSG00000197312.7	DDI2	11.0003
43671	ENSG00000141503.11	MINK1	10.9988
22973	ENSG00000198420.5	FAM115A	10.9982
22542	ENSG00000179562.2	GCC1	10.9912
8737	ENSG00000074582.8	BCS1L	10.9882
21823	ENSG00000006576.12	PHTF2	10.9809
25153	ENSG00000064313.7	TAF2	10.9751
42925	ENSG00000168286.1	THAP11	10.9732
33990	ENSG00000134283.13	PPHLN1	10.9714
18469	ENSG00000204267.9	TAP2	10.9701
29664	ENSG00000148841.11	ITPRIP	10.9654
15229	ENSG00000240376.1	RP11-36C20.1	10.9486
50141	ENSG00000215305.5	VPS16	10.948
48914	ENSG00000063322.9	MED29	10.9477
47812	ENSG00000197961.7	ZNF121	10.9392
36969	ENSG00000134897.9	BIVM	10.9387
45473	ENSG00000153944.6	MSI2	10.9385
16607	ENSG00000155329.7	ZCCHC10	10.9362
21024	ENSG00000122557.5	HERPUD2	10.9358
13617	ENSG00000138698.10	RAP1GDS1	10.9346
12167	ENSG00000185485.10	SDHAP1	10.9297
35294	ENSG00000136051.9	KIAA1033	10.916
193	ENSG00000235169.3	SMIM1	10.9108
41026	ENSG00000185033.10	SEMA4B	10.9099
15296	ENSG00000082068.4	WDR70	10.9056
14095	ENSG00000109381.15	ELF2	10.8997
3542	ENSG00000158887.11	MPZ	10.8923
18051	ENSG00000112763.11	BTN2A1	10.8903
45391	ENSG00000154945.6	ANKRD40	10.8893
22502	ENSG00000106299.7	WASL	10.8883
20435	ENSG00000112584.9	FAM120B	10.888
4906	ENSG00000059588.5	TARBP1	10.8799
16662	ENSG00000069011.11	PITX1	10.8747
48175	ENSG00000127526.9	SLC35E1	10.8741
41424	ENSG00000103197.12	TSC2	10.8529
30369	ENSG00000132256.14	TRIM5	10.8502
47551	ENSG00000105298.9	CACTIN	10.8462
23729	ENSG00000104689.5	TNFRSF10A	10.8459
1698	ENSG00000162601.5	MYSM1	10.8427
6350	ENSG00000116005.7	PCYOX1	10.8352
12178	ENSG00000213123.6	TCTEX1D2	10.8265
35426	ENSG00000089234.11	BRAP	10.826
32207	ENSG00000137509.6	PRCP	10.8209
52601	ENSG00000100099.16	HPS4	10.8206
29654	ENSG00000065613.9	SLK	10.819
4377	ENSG00000163486.8	SRGAP2	10.8174
8589	ENSG00000115020.12	PIKFYVE	10.8154
11746	ENSG00000075420.8	FNDC3B	10.8018
4216	ENSG00000159176.9	CSRP1	10.799
42533	ENSG00000102910.9	LONP2	10.7981
39934	ENSG00000137822.8	TUBGCP4	10.7978
36205	ENSG00000244754.4	N4BP2L2	10.7973
31780	ENSG00000173898.7	SPTBN2	10.7971
23162	ENSG00000133627.13	ACTR3B	10.796
6448	ENSG00000115274.10	INO80B	10.7943
48647	ENSG00000166398.8	KIAA0355	10.7855
21717	ENSG00000077809.8	GTF2I	10.779
36575	ENSG00000139734.13	DIAPH3	10.7698
52534	ENSG00000184674.8	GSTT1	10.7596
49162	ENSG00000073008.10	PVR	10.7593
53303	ENSG00000214717.5	ZBED1	10.7504
1179	ENSG00000116954.7	RRAGC	10.7494
38617	ENSG00000100796.13	SMEK1	10.7468
32848	ENSG00000110395.4	CBL	10.7403
1100	ENSG00000020129.11	NCDN	10.7352
27336	ENSG00000148187.13	MRRF	10.7324
46534	ENSG00000085415.11	SEH1L	10.7252
39578	ENSG00000185115.4	NDNL2	10.7238
23688	ENSG00000158863.17	FAM160B2	10.7231
24853	ENSG00000156469.4	MTERFD1	10.7196
18388	ENSG00000240053.8	LY6G5B	10.7191
14689	ENSG00000151729.6	SLC25A4	10.7167
46068	ENSG00000108669.12	CYTH1	10.7163
47471	ENSG00000129968.11	ABHD17A	10.711
47440	ENSG00000130005.7	GAMT	10.71
22696	ENSG00000205060.6	SLC35B4	10.7084
9749	ENSG00000144655.10	CSRNP1	10.7058
8731	ENSG00000144580.9	RQCD1	10.7048
10617	ENSG00000036054.8	TBC1D23	10.7033
24408	ENSG00000066855.11	MTFR1	10.6982
41416	ENSG00000127554.12	GFER	10.6982
26853	ENSG00000198000.7	NOL8	10.6979
51237	ENSG00000184402.10	SS18L1	10.6944
3004	ENSG00000117360.8	PRPF3	10.6928
897	ENSG00000158161.11	EYA3	10.6919
27398	ENSG00000148200.12	NR6A1	10.6919
20522	ENSG00000146535.9	GNA12	10.6908
53236	ENSG00000196576.10	PLXNB2	10.6879
11246	ENSG00000114107.4	CEP70	10.6861
25475	ENSG00000014164.6	ZC3H3	10.6785
36437	ENSG00000136146.10	MED4	10.6766
12862	ENSG00000109133.8	TMEM33	10.6739
31599	ENSG00000110583.8	NAA40	10.6706
37657	ENSG00000198604.6	BAZ1A	10.6691
4243	ENSG00000143862.3	ARL8A	10.6634
26984	ENSG00000136936.6	XPA	10.6593
11397	ENSG00000163754.13	GYG1	10.6537
22360	ENSG00000184903.5	IMMP2L	10.65
38057	ENSG00000050130.13	JKAMP	10.6499
1416	ENSG00000117481.6	NSUN4	10.642
9070	ENSG00000198612.6	COPS8	10.6412
20473	ENSG00000240230.1	COX19	10.6412
17999	ENSG00000112343.8	TRIM38	10.6395
46079	ENSG00000167280.12	ENGASE	10.6393
34044	ENSG00000139218.13	SCAF11	10.6383
33095	ENSG00000170322.10	NFRKB	10.6371
12294	ENSG00000127418.10	FGFRL1	10.636
6432	ENSG00000225439.2	BOLA3-AS1	10.6309
43648	ENSG00000132382.10	MYBBP1A	10.6271
39386	ENSG00000140181.10	HERC2P2	10.6262
38563	ENSG00000100722.14	ZC3H14	10.6235
54130	ENSG00000169188.4	APEX2	10.621
4530	ENSG00000143499.9	SMYD2	10.6198
9879	ENSG00000249992.1	TMEM158	10.6196
20995	ENSG00000164610.4	RP9	10.6123
28565	ENSG00000165406.11	MARCH8	10.6108
14392	ENSG00000171503.7	ETFDH	10.6102
18027	ENSG00000197846.3	HIST1H2BF	10.6012
12342	ENSG00000063978.11	RNF4	10.5978
17731	ENSG00000124782.15	RREB1	10.5919
41797	ENSG00000085721.8	RRN3	10.5916
42955	ENSG00000103064.9	SLC7A6	10.5861
19260	ENSG00000135324.5	MRAP2	10.5837
54964	ENSG00000101882.5	NKAP	10.5808
40103	ENSG00000104064.12	GABPB1	10.5777
39834	ENSG00000137812.15	CASC5	10.5773
36442	ENSG00000139687.9	RB1	10.5705
24837	ENSG00000175895.3	PLEKHF2	10.5634
21198	ENSG00000136280.11	CCM2	10.5608
40963	ENSG00000259494.1	MRPL46	10.5606
26057	ENSG00000164978.13	NUDT2	10.5601
22563	ENSG00000165055.11	METTL2B	10.5595
20574	ENSG00000122674.8	CCZ1	10.5561
40458	ENSG00000137764.15	MAP2K5	10.5561
36011	ENSG00000165487.9	MICU2	10.5558
48915	ENSG00000128016.4	ZFP36	10.5555
3773	ENSG00000117533.10	VAMP4	10.5535
31306	ENSG00000149115.9	TNKS1BP1	10.5484
33187	ENSG00000120647.5	CCDC77	10.5474
44135	ENSG00000141127.10	PRPSAP2	10.5452
13570	ENSG00000187653.10	TMSB4XP8	10.5421
24358	ENSG00000198363.11	ASPH	10.5403
22295	ENSG00000091127.9	PUS7	10.5401
39845	ENSG00000166140.13	ZFYVE19	10.5378
44388	ENSG00000109079.5	TNFAIP1	10.5378
6453	ENSG00000115282.15	TTC31	10.5374
2695	ENSG00000188610.8	FAM72B	10.5363
45380	ENSG00000136444.5	RSAD1	10.5346
55092	ENSG00000156697.8	UTP14A	10.533
31498	ENSG00000124920.9	MYRF	10.5329
29897	ENSG00000188620.9	HMX3	10.531
34217	ENSG00000066084.8	DIP2B	10.5259
27150	ENSG00000106771.8	TMEM245	10.5257
32762	ENSG00000149577.11	SIDT2	10.5239
35643	ENSG00000188735.8	TMEM120B	10.5193
7965	ENSG00000144357.12	UBR3	10.5185
22932	ENSG00000197993.3	KEL	10.5148
15003	ENSG00000250182.2	EEF1A1P13	10.5034
28113	ENSG00000229124.2	VIM-AS1	10.5024
45471	ENSG00000121057.8	AKAP1	10.5023
29121	ENSG00000148606.8	POLR3A	10.5018
51710	ENSG00000159128.10	IFNGR2	10.4903
35689	ENSG00000051825.10	MPHOSPH9	10.4845
1594	ENSG00000157193.10	LRP8	10.4816
9960	ENSG00000164048.9	ZNF589	10.4768
43744	ENSG00000258315.1	C17orf49	10.47
43462	ENSG00000178773.10	CPNE7	10.4686
15394	ENSG00000172244.4	C5orf34	10.4634
9189	ENSG00000180902.12	D2HGDH	10.4599
7529	ENSG00000152117.13	AC093838.4	10.4598
3199	ENSG00000160741.12	CRTC2	10.4582
28956	ENSG00000166224.12	SGPL1	10.4554
42095	ENSG00000178188.10	SH2B1	10.4514
52226	ENSG00000099904.11	ZDHHC8	10.4469
22786	ENSG00000164898.8	C7orf55	10.4411
1555	ENSG00000154222.10	CC2D1B	10.4391
49293	ENSG00000134815.14	DHX34	10.433
47370	ENSG00000105556.6	MIER2	10.4328
31729	ENSG00000175376.4	EIF1AD	10.4286
27334	ENSG00000119446.9	RBM18	10.4233
186	ENSG00000158109.10	TPRG1L	10.4201
22090	ENSG00000160908.14	ZNF394	10.4198
1856	ENSG00000024526.12	DEPDC1	10.4151
30526	ENSG00000110315.2	RNF141	10.4106
44085	ENSG00000108591.5	DRG2	10.4066
28108	ENSG00000148484.13	RSU1	10.4063
52873	ENSG00000128309.12	MPST	10.405
44850	ENSG00000172057.5	ORMDL3	10.4039
7406	ENSG00000144233.5	AMMECR1L	10.4028
35680	ENSG00000130787.9	HIP1R	10.3991
11486	ENSG00000241732.1	RP11-38P22.2	10.3982
37677	ENSG00000100906.6	NFKBIA	10.3971
31798	ENSG00000172932.10	ANKRD13D	10.3912
777	ENSG00000188672.12	RHCE	10.3901
8349	ENSG00000115540.10	MOB4	10.384
20131	ENSG00000111981.4	ULBP1	10.3827
7996	ENSG00000115840.9	SLC25A12	10.3806
37506	ENSG00000100908.9	EMC9	10.3801
24090	ENSG00000176209.7	SMIM19	10.3799
54294	ENSG00000184481.12	FOXO4	10.375
4716	ENSG00000183814.11	LIN9	10.3662
1411	ENSG00000085998.9	POMGNT1	10.3606
53546	ENSG00000123130.12	ACOT9	10.3529
43841	ENSG00000178921.9	PFAS	10.3517
13650	ENSG00000109270.8	LAMTOR3	10.3496
33119	ENSG00000120451.6	SNX19	10.3489
32056	ENSG00000077514.4	POLD3	10.3481
51030	ENSG00000158470.5	B4GALT5	10.3462
6953	ENSG00000158411.6	MITD1	10.3421
19039	ENSG00000118482.7	PHF3	10.3378
5536	ENSG00000118961.10	C2orf43	10.335
50000	ENSG00000198466.8	ZNF587	10.3314
9328	ENSG00000180385.4	AC034193.5	10.3224
38447	ENSG00000100577.14	GSTZ1	10.3208
55316	ENSG00000155495.8	MAGEC1	10.3208
32391	ENSG00000182919.10	C11orf54	10.32
47581	ENSG00000105248.11	CCDC94	10.3156
17880	ENSG00000272269.1	RP11-500C11.3	10.3154
43478	ENSG00000140995.12	DEF8	10.3098
28655	ENSG00000107643.11	MAPK8	10.3089
14555	ENSG00000164117.8	FBXO8	10.3079
46059	ENSG00000087157.14	PGS1	10.3076
46005	ENSG00000092931.7	MFSD11	10.3046
7345	ENSG00000074054.13	CLASP1	10.3041
44006	ENSG00000141027.16	NCOR1	10.3039
43041	ENSG00000132613.10	MTSS1L	10.3017
30103	ENSG00000099849.10	RASSF7	10.2973
53295	ENSG00000169093.10	ASMTL	10.2922
2638	ENSG00000198162.8	MAN1A2	10.2914
46617	ENSG00000141446.6	ESCO1	10.2913
35634	ENSG00000110931.14	CAMKK2	10.2905
44099	ENSG00000176974.13	SHMT1	10.2869
44796	ENSG00000056661.9	PCGF2	10.2849
3202	ENSG00000143578.11	CREB3L4	10.2824
14121	ENSG00000153130.13	SCOC	10.2817
39776	ENSG00000171262.7	FAM98B	10.2813
40625	ENSG00000178802.13	MPI	10.2743
37645	ENSG00000129518.4	EAPP	10.2727
27830	ENSG00000148399.7	DPH7	10.2712
34999	ENSG00000133641.13	C12orf29	10.2708
36	ENSG00000240409.1	MTATP8P1	10.2679
25403	ENSG00000169398.15	PTK2	10.2669
23152	ENSG00000261455.1	LINC01003	10.2663
25074	ENSG00000120526.6	NUDCD1	10.2621
3714	ENSG00000143156.9	NME7	10.26
21100	ENSG00000006715.11	VPS41	10.2564
36283	ENSG00000188811.8	NHLRC3	10.2555
51453	ENSG00000154640.10	BTG3	10.2506
45122	ENSG00000186566.7	GPATCH8	10.2412
12290	ENSG00000127419.12	TMEM175	10.2406
587	ENSG00000127463.9	EMC1	10.2367
52377	ENSG00000211643.2	IGLV5-52	10.2361
2140	ENSG00000069702.6	TGFBR3	10.233
32778	ENSG00000110324.5	IL10RA	10.2321
18104	ENSG00000197914.2	HIST1H4K	10.2315
3588	ENSG00000132196.9	HSD17B7	10.2288
45969	ENSG00000182473.16	EXOC7	10.2281
1151	ENSG00000116922.10	C1orf109	10.2267
39876	ENSG00000092445.7	TYRO3	10.2256
36102	ENSG00000127870.12	RNF6	10.2236
14534	ENSG00000109586.7	GALNT7	10.2208
28930	ENSG00000171224.7	C10orf35	10.2205
49215	ENSG00000010310.4	GIPR	10.219
29755	ENSG00000198924.3	DCLRE1A	10.2141
45081	ENSG00000108861.4	DUSP3	10.2133
9291	ENSG00000070950.5	RAD18	10.2076
11913	ENSG00000114796.11	KLHL24	10.2066
24082	ENSG00000104365.9	IKBKB	10.202
197	ENSG00000116198.8	CEP104	10.1986
8260	ENSG00000128699.9	ORMDL1	10.192
47875	ENSG00000129353.10	SLC44A2	10.1855
38187	ENSG00000224861.1	YBX1P1	10.185
38645	ENSG00000165943.4	MOAP1	10.1703
24135	ENSG00000248498.3	ASNSP1	10.1691
34194	ENSG00000050405.9	LIMA1	10.1664
9309	ENSG00000156983.11	BRPF1	10.1603
7841	ENSG00000196151.6	WDSUB1	10.1554
38386	ENSG00000119640.4	ACYP1	10.1544
